,Counts
ENSR00000141439,1
ENSR00000298642,1
ENSR00000032843,1
ENSR00000193108,1
ENSR00000093516,1
ENSR00000296414,1
ENSR00000131822,1
17:66797297-66803297,1
5:43048497-43054497,1
ENSR00000235533,1
ENSR00000208930,1
ENSR00000320016,1
ENSR00000193092,1
ENSR00000135010,1
20:45762447-45768447,1
ENSR00000293234,1
ENSR00000251626,1
ENSR00000251622,1
ENSR00000251623,1
14:105041942-105047942,1
ENSR00000293235,1
ENSR00000023404,1
ENSR00000047195,1
ENSR00000208927,1
2:142936884-142942884,1
ENSR00000313136,1
ENSR00000208926,1
ENSR00000342304,1
2:85713796-85719796,1
5:1559805-1565805,1
ENSR00000236792,1
ENSR00000049335,1
ENSR00000342305,1
ENSR00000320963,1
ENSR00000198007,1
ENSR00000236790,1
ENSR00000206365,1
ENSR00000206364,1
7:104839117-104845117,1
ENSR00000216249,1
ENSR00000170421,1
ENSR00000109507,1
19:36154578-36160578,1
13:76589783-76595783,1
ENSR00000164707,1
ENSR00000243861,1
ENSR00000243860,1
ENSR00000243859,1
1:148954104-148960104,1
4:54017263-54023263,1
4:54021691-54027691,1
ENSR00000043973,1
ENSR00000091626,1
ENSR00000270299,1
ENSR00000219466,1
ENSR00000328875,1
1:39612499-39618499,1
11:67617864-67623864,1
ENSR00000119748,1
ENSR00000341179,1
19:36677323-36683323,1
ENSR00000318780,1
ENSR00000280227,1
ENSR00000191293,1
ENSR00000084886,1
ENSR00000298227,1
ENSR00000308258,1
ENSR00000306124,1
ENSR00000006992,1
ENSR00000158163,1
ENSR00000165816,1
22:43152977-43158977,1
ENSR00000007157,1
ENSR00000216522,1
ENSR00000306125,1
ENSR00000329961,1
ENSR00000136365,1
ENSR00000042045,1
ENSR00000035665,1
ENSR00000037151,1
ENSR00000143580,1
ENSR00000288096,1
ENSR00000146806,1
ENSR00000146805,1
ENSR00000193109,1
ENSR00000146804,1
ENSR00000260646,1
ENSR00000164478,1
ENSR00000164479,1
ENSR00000236796,1
ENSR00000092011,1
ENSR00000307782,1
ENSR00000026484,1
ENSR00000258819,1
ENSR00000098345,1
ENSR00000306266,1
ENSR00000079432,1
ENSR00000328997,1
